,,Airbnb Picture Refernce,Airbnb Rating,Bedrooms,No of Bath,No of Guest Allowed,Private Pool,Distance From ULU MAHSURI VILLA (NO1) (km),View,Pricing Type,Single Villa or Compound with other Villa,Sept 26 Q1,Sept 26 Q2,Oct 26 Q1,Oct 26 Q2,Nov 26 Q1,Nov 26 Q2,Dec 26 Q1 ,Dec 26 Q2 (chirtams),Jan 27 Q1 (New Year),Jan 27 Q2,Feb 27 Q1,Feb 27 Q2,Mar 27 Q1,Mar 27 Q2,April 27 Q1,April 27 Q2 (LIMA),,
1,ULU MAHSURI VILLA,,4.98,2,2,4,Y,0,Paddy,Per room,Private,813,551,949,949,949,949,968,872,762,988,813,872,872,968,929,1382,,
2,Kayu Villa@ Villa Kelapa,Picture,4.99,2,2,4,N,2.8,Garden,Whole Villa,Compound,810,790,790,790,790,805,805,893,893,825,825,825,825,825,825,995,,
3,Batu Villa@ Villla Kelapa4.94,Picture,4.94,1,2,4,N,2.8,Garden,Whole Villa,Compound,755,740,740,740,740,750,755,1140,1140,765,765,765,765,765,755,860,,
4,ULU Sepi,Picture,4.89,2,2,4,Y,0.05,Paddy,Per room,Private,1046,929,968,968,968,968,1026,1138,1138,852,852,852,968,968,968,2440,,
5,Villa Moo Moo,Picture,4.9,3,4,8,Y,9.3,Paddy,Whole Villa,Private,1661,1661,1661,1661,1578,1578,1043,2207,1841,1578,1794,1578,1458,1825,1825,1524,,
6,Bohoq Villa,Picture,4.96,2,3,7,Y,9.7,Paddy,Whole Villa,Private,2316,2316,2316,2305,2305,2305,2593,2881,2871,2549,2820,2575,2552,2552,2525,4033,,
7,Rumah Bendang,Picture,4.93,4,4,15,Y,8.1,Paddy,Whole Villa,Compound,820,1123,1011,1087,1339,1356,1364,1466,1319,1242,1242,1242,1242,1092,1242,2586,,
8,Traditional Malay Villa,Picture,4.98,1,1,4,Y,8.1,Paddy,Whole,Compound,790,813,810,804,803,803,893,985,985,811,755,755,755,755,755,1153,,
9,Villa@ Bukit Lembu,Picture,4.96,2,2,5,N,9.4,Paddy,Whole,Private,880,829,875,877,902,930,930,939,939,939,939,939,939,939,939,1256,,
10,Villa Sawah-Genya,Picture,4.62,4,4,4,Y,0.65,Garden,Whole,Compound,,1458,1498,1578,1458,1458,1578,1458,1578,1458,1578,1458,1578,1578,1578,1578,,
11,UlluVilla Guest House 1,Picture,4.9.3,2,1,4,Y,2.6,Garden,Whole,Private,580,783,802,802,802,802,802,896,971,855,802,802,802,802,802,1167,,
12,Villa Markisa @ Alamnada,Picture,4.86,2,1,5,N,2.6,Garden,Whole,Compound,780,780,780,780,872,780,870,1256,1256,1052,1052,1052,780,780,780,1324,,
13,Villa Raya@Alamanda,Picture,4.9,2,1,7,N,2.6,Hill,Whole,Compound,950,950,950,950,950,950,1076,1615,1615,1330,1330,1330,950,950,950,1062,,
14,Villa Eugena@ Sunset Villas,Picture,4.95,4,3.5,7,Y,2.4,Paddy,Whole Villa,Compound,1466,1466,1466,1466,1466,1466,1466,1666,1666,1466,1466,1466,1450,1466,1466,1766,,
15,Pade  Langkawi,Picture,4.89,3,2,4,N,3.1,Paddy,Whole,Compound,1333,1333,1333,1333,1333,1333,1333,1333,1333,1333,1333,1333,1333,1333,,,,
16,Antara Padi,,4.93,3,3,6,Y,0.08,Paddy,Whole,Private,1326,1326,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Q1 Early 1st week of month,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Q2 End 3rd week of month,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,LIMA- April 20-24 2026,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
